log_id,case_id,source,format_family,outcome_class,record_validity,entity_type,entity_type_validity,email_address,email_address_validity,resource_url,resource_url_validity,event_timestamp,event_timestamp_validity,tool,tool_validity,latitude,latitude_validity,longitude,longitude_validity,ip_address,ip_address_validity,action_phrase,action_phrase_validity,status,status_validity,secondary_values,scenario_tags,notes
11,GEN-00011,generated,F1,SUCCESS,VALID,CUSTOMER,VALID,wei_murphy@shop.example.org,VALID,https://shop.example.org/orders/48345,VALID,2026-05-21 15:07:49,VALID,Firefox/124.0.2,VALID,"51°33'01.8""N",VALID,"0°09'47.5""W",VALID,198.51.100.156,VALID,Request allowed,VALID,ALLOWED,VALID,,coordinates_dms;resource_https_shop;timestamp_no_timezone;timestamp_style_space,
12,GEN-00012,generated,F4,SUCCESS,VALID,,MISSING,-,PLACEHOLDER,/api/v2/invoices?status=open&page=16,VALID,2026-01-26T12:02:43+00:00,VALID,PostmanRuntime/7.37.0,VALID,51.4999,VALID,-0.1580,VALID,203.0.113.82,VALID,Authorized,VALID,201,VALID,client_port=58401,coordinates_decimal;coordinates_wkt_lon_lat_order;ip_with_port;resource_relative_api;timestamp_style_iso_offset,
13,GEN-00013,generated,F2,DECLINED,VALID,Admin,VALID,,MISSING,/admin/billing/export,VALID,02/18/2026 12:25:54 PM,VALID,MobileSafari/17.4.1,VALID,,MISSING,36.8083,VALID,2001:db8:d09:e59e::3b83,VALID,was blocked from accessing,VALID,DENIED,VALID,,coordinates_decimal;coordinates_partial;email_absent_anonymous;ipv6_compressed;resource_relative_admin;sentence_template_A;timestamp_no_timezone;timestamp_style_us_12h,
14,GEN-00014,generated,F3,SUCCESS,VALID,user,VALID,isabela.iyer@corp.example.com,VALID,/documents/policies,VALID,2026-04-28T21:19:57.714Z,VALID,Safari/17.4.1,VALID,40.6824,VALID,-73.9672,VALID,10.24.104.48,VALID,allowed,VALID,PASS,VALID,,coordinates_decimal;coordinates_json_object;json_spaced;resource_relative_portal;syslog_rfc5424;timestamp_style_iso_ms_z,
15,GEN-00015,generated,F1,SUCCESS,VALID,GUEST,VALID,,MISSING,https://portal.corp.example.com/projects/alpha?id=2718,VALID,2026-04-22 23:56:16,VALID,MobileSafari/17.4.1,VALID,64.14687,VALID,-21.98175,VALID,192.0.2.139,VALID,ACCESS GRANTED,VALID,ALLOWED,VALID,,coordinates_combined_field;coordinates_decimal;resource_https_portal;timestamp_no_timezone;timestamp_style_space,
16,GEN-00016,generated,F3,SUCCESS,VALID,user,VALID,PRIYA.MURPHY@EXAMPLE.COM,VALID,https://portal.corp.example.com/dashboard,VALID,2026-02-20T03:15:03.592Z,VALID,Safari/17.4.1,VALID,-23.56010,VALID,-46.58938,VALID,2001:db8::9c7c,VALID,login successful,VALID,SUCCESS,VALID,,coordinates_decimal;coordinates_json_object;email_uppercase;ipv6_short;resource_https_portal;syslog_rfc5424;timestamp_style_iso_ms_z,
17,GEN-00017,generated,F5,NEUTRAL,VALID,GUEST,VALID,visitor.5796@guest.example.org,VALID,-,PLACEHOLDER,2026/05/14 01:26:02,VALID,Firefox/125.0,VALID,,MISSING,-,PLACEHOLDER,198.51.100.236,VALID,Server error,VALID,ERROR,VALID,,timestamp_no_timezone;timestamp_style_ymd_slash,
18,GEN-00018,generated,F4,DECLINED,VALID,User,VALID,aisha.joshi63@eu.corp.example.com,VALID,/home,VALID,2026-05-05 17:36:16.709,VALID,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",VALID,51.49711,VALID,-0.17707,VALID,2001:db8:4054:7842::9410,VALID,Blocked by WAF policy,VALID,403,VALID,ip_like_in_tool=124.0.0.0,coordinates_decimal;coordinates_wkt_lon_lat_order;email_angle_wrapper;ip_like_in_tool;ipv6_compressed;resource_relative_portal;timestamp_no_timezone;timestamp_style_space_ms;user_agent_full,
19,GEN-00019,generated,F4,DECLINED,VALID,USER,VALID,ingrid-santos@eu.corp.example.com,VALID,/timesheets,VALID,16/Feb/2026:07:17:47 +0530,VALID,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1",VALID,,MISSING,,MISSING,10.216.199.173,VALID,Unauthorized,VALID,-,PLACEHOLDER,,email_angle_wrapper;resource_relative_portal;timestamp_style_apache;user_agent_full,
20,GEN-00020,generated,F1,DECLINED,VALID,api_client,VALID,api-client-8440@partners.example.net,VALID,https://api.example.com/api/v2/invoices?status=open&page=1,VALID,2026-06-17T03:58:32Z,VALID,python-requests/2.31.0,VALID,-33.8988373,VALID,151.1712208,VALID,192.0.2.71,VALID,Access denied,VALID,BLOCKED,VALID,,coordinates_decimal;resource_https_api;timestamp_style_iso_z,
21,GEN-00021,generated,F3,DECLINED,VALID,admin,VALID,elena_nair@corp.example.com,VALID,/admin/audit,VALID,Jun 11 01:45:22,VALID,Firefox/124.0.2,VALID,1.3243,VALID,103.8670,VALID,10.224.159.210,VALID,authentication failed,VALID,fail,VALID,,coordinates_combined_string;coordinates_decimal;resource_relative_admin;syslog_rfc3164;timestamp_no_timezone;timestamp_no_year;timestamp_style_syslog,
22,GEN-00022,generated,F3,SUCCESS,VALID,admin,VALID,kavya.khan@hq.example.net,VALID,https://admin.corp.example.com/admin/audit,VALID,Jan 29 22:00:00,VALID,Safari/17.4.1,VALID,,MISSING,,MISSING,10.42.154.33,VALID,allowed,VALID,200,VALID,,json_spaced;resource_https_admin;status_numeric_json;syslog_rfc3164;timestamp_no_timezone;timestamp_no_year;timestamp_style_syslog,
23,GEN-00023,generated,F4,DECLINED,VALID,CUSTOMER,VALID,meera.iyer@shop.example.org,VALID,https://shop.example.org/cart,VALID,2026-04-18 18:51:57.226,VALID,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.2478.67",VALID,40.6645681,VALID,-73.9738083,VALID,203.0.113.195,VALID,Forbidden,VALID,403,VALID,ip_like_in_tool=124.0.0.0,coordinates_combined_field;coordinates_decimal;email_angle_wrapper;ip_like_in_tool;resource_https_shop;timestamp_no_timezone;timestamp_style_space_ms;user_agent_full,
24,GEN-00024,generated,F4,SUCCESS,VALID,User,VALID,sofia.silva@example.co.uk,VALID,/home,VALID,23/Mar/2026:06:57:01 +0000,VALID,"Mozilla/5.0 (Macintosh; Intel Mac OS X 14_4_1) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15",VALID,,MISSING,,MISSING,192.168.113.127,VALID,Login successful,VALID,200,VALID,,email_angle_wrapper;email_multi_part_tld;resource_relative_portal;timestamp_style_apache;user_agent_full,
25,GEN-00025,generated,F1,SUCCESS,VALID,admin,VALID,ethan3258@corp.example.com,VALID,/admin/roles/6919,VALID,2026-05-19T02:14:38Z,VALID,Chrome/123.0.6312.122,VALID,,MISSING,139.700,VALID,2001:db8::5400,VALID,Permission granted,VALID,SUCCESS,VALID,,coordinates_decimal;coordinates_partial;ipv6_short;resource_relative_admin;timestamp_style_iso_z,
26,GEN-00026,generated,F1,SUCCESS,VALID,USER,VALID,emma.zhang@example.com.au,VALID,/reports/weekly?id=7059,VALID,2026-05-20T13:05:51Z,VALID,Edge/124.0.2478.67,VALID,-23.54065,VALID,-46.63302,VALID,2001:db8:9e6b:efca::3ffa,VALID,access granted,VALID,success,VALID,,coordinates_decimal;email_multi_part_tld;ipv6_compressed;resource_relative_portal;timestamp_style_iso_z,
27,GEN-00027,generated,F5,DECLINED,VALID,SERVICE_ACCOUNT,VALID,svc-reporting@infra.example.internal,VALID,https://artifacts.example.internal/releases/2.16.0.68/app-2.16.0.68.zip,VALID,23-01-2026 12:02,VALID,Boto3/1.34.69,VALID,1.3418,VALID,103.8298,VALID,10.49.61.86,VALID,Declined by policy,VALID,REJECTED,VALID,ip_like_in_resource=2.16.0.68,coordinates_decimal;ip_like_in_resource;resource_https_internal;timestamp_no_timezone;timestamp_style_dmy_hm,
28,GEN-00028,generated,F2,SUCCESS,VALID,,MISSING,daniel8518@example.com,VALID,https://shop.example.org/orders/97557,VALID,22/May/2026:13:40:42 +0530,VALID,Safari/17.4.1,VALID,12.9427,VALID,77.5777,VALID,2001:db8:4d0a:f26f::923,VALID,successfully accessed,VALID,ALLOWED,VALID,,coordinates_decimal;ipv6_compressed;resource_https_shop;sentence_template_A;timestamp_style_apache,
29,GEN-00029,generated,F1,SUCCESS,VALID,GUEST,VALID,visitor.8917@guest.example.org,VALID,-,PLACEHOLDER,2026-06-29T03:02:20.562-03:00,VALID,Firefox/125.0,VALID,-23.56,VALID,-46.59,VALID,192.0.2.26,VALID,Authenticated successfully,VALID,SUCCESS,VALID,,coordinates_decimal;timestamp_style_iso_ms_offset,
30,GEN-00030,generated,F1,SUCCESS,VALID,USER,VALID,arjun.silva@mail.example.org,VALID,https://portal.corp.example.com/dashboard?id=6999,VALID,1774140776809,VALID,,MISSING,-33.872728,VALID,151.160021,VALID,2001:0db8:60f9:63d0:5793:9588:7026:56be,VALID,Permission granted,VALID,PASS,VALID,,coordinates_decimal;ipv6_full;resource_https_portal;timestamp_style_epoch_ms,
31,GEN-00031,generated,F1,NEUTRAL,VALID,service-account,VALID,svc-deploy@infra.example.internal,VALID,/etc/ssh/sshd_config,VALID,2026-02-14T10:13:07-05:00,VALID,python-requests/2.31.0,VALID,40.7414,VALID,-73.9909,VALID,2001:db8:c212:360e::738f,VALID,Rate limited,VALID,429,VALID,,coordinates_combined_field;coordinates_decimal;entity_hyphenated;field_order_varied;ipv6_compressed;resource_linux;timestamp_style_iso_offset,
32,GEN-00032,generated,F4,SUCCESS,VALID,User,VALID,rohan.sharma@corp.example.com,VALID,/reports/weekly,VALID,25/May/2026:13:41:50 +0900,VALID,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0,VALID,35.6895,VALID,139.6095,VALID,10.97.204.157,VALID,Request allowed,VALID,200,VALID,client_port=49590,coordinates_decimal;email_in_remote_user_slot;ip_with_port;resource_relative_portal;timestamp_style_apache;user_agent_full,
33,GEN-00033,generated,F5,SUCCESS,VALID,BOT,VALID,bot-monitor@infra.example.internal,VALID,,MISSING,06-03-2026 14:28,VALID,curl/8.4.0,VALID,,MISSING,103.864,VALID,172.23.99.150,VALID,Access granted,VALID,success,VALID,,ambiguous_day_month_order;coordinates_decimal;coordinates_partial;status_lowercase;timestamp_no_timezone;timestamp_style_dmy_hm,
34,GEN-00034,generated,F1,SUCCESS,VALID,Customer,VALID,yuki.patel+test@mail.example.co.uk,VALID,/cart,VALID,2026-04-11T19:13:30.290+05:30,VALID,Firefox/124.0.2,VALID,19.1200,VALID,72.8892,VALID,2001:db8:5481:e6ce::d882,VALID,Login successful,VALID,,MISSING,,coordinates_decimal;email_multi_part_tld;email_plus_tag;ipv6_compressed;resource_relative_shop;timestamp_style_iso_ms_offset,
35,GEN-00035,generated,F1,DECLINED,VALID,guest,VALID,guest_8913@example.com,VALID,/catalog/items/17225,VALID,2026-03-26T20:37:48.211+03:00,VALID,,MISSING,-1.29230,VALID,36.82240,VALID,192.0.2.151,VALID,Authentication failed,VALID,FAIL,VALID,,coordinates_decimal;resource_relative_public;timestamp_style_iso_ms_offset,
36,GEN-00036,generated,F2,SUCCESS,VALID,Service Account,VALID,svc-billing-sync@infra.example.internal,VALID,db://prod/payments,VALID,06/17/2026 12:40:09 PM,VALID,python-requests/2.31.0,VALID,64.1776,VALID,-21.9716,VALID,192.168.155.5,VALID,was permitted to access,VALID,ALLOWED,VALID,,coordinates_decimal;entity_multi_word;resource_db;sentence_template_A;timestamp_no_timezone;timestamp_style_us_12h,
37,GEN-00037,generated,F1,DECLINED,INVALID,SERVICE_ACCOUNT,VALID,svc-reporting@infra.example.internal,VALID,htps://portal.corp.example.com/reports/weekly,INVALID,2026-05-20T07:11:39+05:30,VALID,python-requests/2.31.0,VALID,,MISSING,,MISSING,10.3.85.202,VALID,Access denied,VALID,403,VALID,,compact_delimiters;empty_value;resource_invalid_scheme_typo;timestamp_style_iso_offset,
38,GEN-00038,generated,F4,DECLINED,VALID,ADMIN,VALID,anita.khan21@corp.example.com,VALID,https://admin.corp.example.com:8443/admin/audit,VALID,2026-03-13 15:48:33.002,VALID,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",VALID,19.0875241,VALID,72.8742006,VALID,203.0.113.27,VALID,Forbidden,VALID,403,VALID,ip_like_in_tool=123.0.0.0,coordinates_decimal;coordinates_wkt_lon_lat_order;email_in_remote_user_slot;ip_like_in_tool;resource_https_admin;timestamp_no_timezone;timestamp_style_space_ms;user_agent_full,
39,GEN-00039,generated,F1,SUCCESS,VALID,user,VALID,hiro.menon+ops@corp.example.com,VALID,https://portal.corp.example.com/reports/q2,VALID,1775851072304,VALID,Edge/124.0.2478.67,VALID,-23.55,VALID,-46.61,VALID,192.0.2.249,VALID,Login successful,VALID,ok,VALID,,coordinates_decimal;email_plus_tag;resource_https_portal;timestamp_style_epoch_ms,
40,GEN-00040,generated,F1,SUCCESS,VALID,admin,VALID,arjun.andersen+audit@corp.example.com,VALID,D:\Backups\SQL\prod_2026-01-17.bak,VALID,2026-05-24T16:31:00.059Z,VALID,,MISSING,-,PLACEHOLDER,,MISSING,10.181.40.45,VALID,ACCESS GRANTED,VALID,SUCCESS,VALID,,date_in_resource;email_plus_tag;empty_value;resource_windows;timestamp_style_iso_ms_z,
41,GEN-00041,generated,F5,SUCCESS,VALID,SERVICE_ACCOUNT,VALID,ci-runner-15@build.example.internal,VALID,postgres://reporting.example.internal:5432/sales,VALID,3/15/2026 3:32 PM,VALID,OpenSSH_9.6p1,VALID,,MISSING,,MISSING,172.23.65.112,VALID,ACCESS PERMITTED,VALID,ALLOWED,VALID,,resource_db;timestamp_no_timezone;timestamp_style_us_12h_short,
42,GEN-00042,generated,F5,DECLINED,VALID,USER,VALID,,MISSING,https://portal.corp.example.com/dashboard#summary,VALID,6/28/2026 9:29 PM,VALID,,MISSING,"12°58'41.5""N",VALID,"77°35'46.7""E",VALID,198.51.100.14,VALID,Access declined,VALID,DENIED,VALID,,coordinates_dms;resource_https_portal;timestamp_no_timezone;timestamp_style_us_12h_short,
43,GEN-00043,generated,F1,DECLINED,VALID,USER,VALID,fatima.garcia+alerts@corp.example.com,VALID,D:\Backups\SQL\prod_2026-03-22.bak,VALID,2026-01-03T03:31:00.525Z,VALID,MobileSafari/17.4.1,VALID,-23.56,VALID,-46.61,VALID,203.0.113.165,VALID,ACCESS DENIED,VALID,DENIED,VALID,,coordinates_decimal;date_in_resource;email_plus_tag;resource_windows;timestamp_style_iso_ms_z,
44,GEN-00044,generated,F5,DECLINED,VALID,CUSTOMER,VALID,,MISSING,https://shop.example.org/wishlist,VALID,20260209T173435,VALID,Firefox/125.0,VALID,"35°37'49.8""N",VALID,"139°40'37.2""E",VALID,203.0.113.164,VALID,Login attempt rejected,VALID,FAIL,VALID,,coordinates_dms;resource_https_shop;timestamp_no_timezone;timestamp_style_compact,
45,GEN-00045,generated,F3,SUCCESS,VALID,guest,VALID,guest_1245@example.com,VALID,/catalog/items/64889,VALID,Jun  9 06:57:43,VALID,Firefox/125.0,VALID,51.5266,VALID,-0.1332,VALID,2001:db8:ec5c:4ca1::5497,VALID,allowed,VALID,DENIED,VALID,,coordinates_decimal;ipv6_compressed;resource_relative_public;status_action_conflict;syslog_rfc3164;syslog_space_padded_day;timestamp_no_timezone;timestamp_no_year;timestamp_style_syslog,
46,GEN-00046,generated,F5,DECLINED,VALID,USER,VALID,SOFIA.RAO@EXAMPLE.GOV.IN,VALID,https://portal.corp.example.com/reports/q1,VALID,27-01-2026 11:23,VALID,Firefox/125.0,VALID,35.68571 N,VALID,139.67302 E,VALID,2001:db8:c828:763a::bb87,VALID,ACCESS DENIED,VALID,blocked,VALID,,coordinates_hemi_suffix;email_multi_part_tld;email_uppercase;ipv6_compressed;resource_https_portal;status_lowercase;timestamp_no_timezone;timestamp_style_dmy_hm,
47,GEN-00047,generated,F1,SUCCESS,VALID,CUSTOMER,VALID,meera8377@example.com,VALID,https://shop.example.org/checkout,VALID,2026-01-01T01:56:14Z,VALID,Edge/124.0.2478.67,VALID,35.69,VALID,139.69,VALID,198.51.100.240,VALID,ACCESS GRANTED,VALID,SUCCESS,VALID,,coordinates_decimal;resource_https_shop;timestamp_style_iso_z,
48,GEN-00048,generated,F5,DECLINED,VALID,USER,VALID,ISABELA.IYER+2026@CORP.EXAMPLE.COM,VALID,/home?id=4994,VALID,04-02-2026 10:50:54,VALID,Firefox/125.0,VALID,N35.709,VALID,E139.607,VALID,192.168.206.90,VALID,ACCESS DENIED,VALID,FAILED,VALID,,ambiguous_day_month_order;coordinates_hemi_prefix;email_plus_tag;email_uppercase;resource_relative_portal;timestamp_no_timezone;timestamp_style_dmy_hms,
49,GEN-00049,generated,F1,DECLINED,VALID,USER,VALID,opatel@corp.example.com,VALID,/reports/weekly,VALID,2026-04-23T08:41:31+10:00,VALID,Firefox/124.0.2,VALID,,MISSING,,MISSING,203.0.113.158,VALID,Request blocked by policy,VALID,DENIED,VALID,,email_angle_wrapper;empty_value;resource_relative_portal;timestamp_style_iso_offset,
50,GEN-00050,generated,F2,DECLINED,VALID,Guest,VALID,guest_1568@example.com,VALID,https://portal.corp.example.com/projects/alpha?id=9248,VALID,04/13/2026 04:00:44 PM,VALID,MobileSafari/17.4.1,VALID,"18°31'46.6""N",VALID,"73°53'53.8""E",VALID,172.16.229.47,VALID,failed to log in to,VALID,FAIL,VALID,client_port=6625,coordinates_dms;email_angle_wrapper;ip_with_port;resource_https_portal;sentence_template_B;timestamp_no_timezone;timestamp_style_us_12h,
51,GEN-00051,generated,F3,DECLINED,VALID,customer,VALID,,MISSING,https://shop.example.org/orders/52027,VALID,May 27 12:09:51,VALID,Firefox/124.0.2,VALID,51.50454,VALID,-0.16163,VALID,10.221.11.51,VALID,access denied,VALID,FAILED,VALID,,coordinates_decimal;resource_https_shop;syslog_rfc3164;timestamp_no_timezone;timestamp_no_year;timestamp_style_syslog,
52,GEN-00052,generated,F5,SUCCESS,VALID,USER,VALID,emma.santos@corp.example.com,VALID,https://portal.corp.example.com/reports/weekly,VALID,21-04-2026 04:40,VALID,Chrome/123.0.6312.122,VALID,N19.0327,VALID,E72.8597,VALID,::ffff:192.0.2.138,VALID,Permitted,VALID,PASS,VALID,,coordinates_hemi_prefix;ipv6_ipv4_mapped;resource_https_portal;timestamp_no_timezone;timestamp_style_dmy_hm,
53,GEN-00053,generated,F3,SUCCESS,VALID,user,VALID,olivia.rao@corp.example.com,VALID,/timesheets?id=2679,VALID,2026-01-28T10:22:31.460Z,VALID,MobileSafari/17.4.1,VALID,35.7068,VALID,139.6152,VALID,192.168.58.66,VALID,access granted,VALID,success,VALID,,coordinates_decimal;resource_relative_portal;syslog_rfc5424;timestamp_style_iso_ms_z,
54,GEN-00054,generated,F5,SUCCESS,VALID,,MISSING,SVC-BACKUP@INFRA.EXAMPLE.INTERNAL,VALID,db://prod/payments,VALID,01-06-2026 01:06,VALID,kubectl/v1.29.3,VALID,64.1824074,VALID,-21.9579947,VALID,10.170.23.104,VALID,Permitted,VALID,PASS,VALID,,ambiguous_day_month_order;coordinates_decimal;email_uppercase;resource_db;timestamp_no_timezone;timestamp_style_dmy_hm,
55,GEN-00055,generated,F1,DECLINED,VALID,api-client,VALID,api-client-1102@partners.example.net,VALID,https://api.example.com/api/v2/search?q=annual%20report%202025,VALID,2026-04-03T01:24:57Z,VALID,PostmanRuntime/7.37.0,VALID,18.5370,VALID,73.8981,VALID,192.0.2.109,VALID,Access denied,VALID,BLOCKED,VALID,,coordinates_decimal;entity_hyphenated;resource_https_api;resource_percent_encoded;timestamp_style_iso_z,
56,GEN-00056,generated,F3,SUCCESS,VALID,user,VALID,kwame.joshi@example.com,VALID,https://portal.corp.example.com/profile/settings,VALID,2026-03-13T22:28:21.175Z,VALID,Chrome/123.0.6312.122,VALID,18.5123,VALID,73.8449,VALID,203.0.113.89,VALID,access granted,VALID,ALLOWED,VALID,,coordinates_decimal;resource_https_portal;syslog_rfc5424;timestamp_style_iso_ms_z,
57,GEN-00057,generated,F1,SUCCESS,VALID,ADMIN,VALID,aisha_murphy@hq.example.net,VALID,/admin/audit,VALID,2026-03-05T01:13:29Z,VALID,,MISSING,-,PLACEHOLDER,-,PLACEHOLDER,2001:db8:dacc:fa4f::9784,VALID,Permission granted,VALID,200,VALID,,field_order_varied;ipv6_compressed;resource_relative_admin;timestamp_style_iso_z,
58,GEN-00058,generated,F3,SUCCESS,VALID,service_account,VALID,ci-runner-04@build.example.internal,VALID,/srv/data/exports/customers_2026-05-18.csv,VALID,2026-03-25T15:40:39.994Z,VALID,python-requests/2.31.0,VALID,51.5440,VALID,-0.1403,VALID,192.168.147.17,VALID,access granted,VALID,200,VALID,,coordinates_decimal;date_in_resource;resource_linux;status_numeric_json;syslog_rfc5424;timestamp_style_iso_ms_z,
59,GEN-00059,generated,F2,SUCCESS,VALID,User,VALID,sipho.w.mensah@mail.example.org,VALID,https://portal.corp.example.com:8443/reports/q2,VALID,29/May/2026:19:18:18 +0530,VALID,Chrome/124.0.6367.91,VALID,12.93513,VALID,77.61087,VALID,203.0.113.92,VALID,authenticated successfully to,VALID,OK,VALID,,coordinates_decimal;email_angle_wrapper;resource_https_portal;sentence_template_A;timestamp_style_apache,
60,GEN-00060,generated,F1,SUCCESS,VALID,USER,VALID,nadia_rossi@corp.example.com,VALID,/calendar,VALID,2026-02-26T01:20:34Z,VALID,MobileSafari/17.4.1,VALID,64.1357,VALID,-21.9718,VALID,10.96.249.231,VALID,Request allowed,VALID,PASS,VALID,,coordinates_decimal;resource_relative_portal;timestamp_style_iso_z,
61,GEN-00061,generated,F2,SUCCESS,VALID,CUSTOMER,VALID,meera.iyer@customers.example.net,VALID,https://shop.example.org/wishlist,VALID,25/Feb/2026:22:56:16 +1000,VALID,Chrome/124.0.6367.91,VALID,-33.8443,VALID,151.1608,VALID,203.0.113.52,VALID,was permitted to access,VALID,200 OK,VALID,,coordinates_decimal;email_display_name_wrapper;entity_bracket_prefix;resource_https_shop;sentence_template_A;timestamp_style_apache,
62,GEN-00062,generated,F3,SUCCESS,VALID,bot,VALID,bot-monitor@infra.example.internal,VALID,https://status.example.com/api/ping,VALID,Apr 29 14:54:19,VALID,curl/8.4.0,VALID,1.306,VALID,103.866,VALID,192.168.201.127,VALID,login successful,VALID,ok,VALID,,coordinates_decimal;coordinates_json_object;json_spaced;resource_https_status;syslog_rfc3164;timestamp_no_timezone;timestamp_no_year;timestamp_style_syslog,
