log_id,raw_log
38,"203.0.113.27 - anita.khan21@corp.example.com [2026-03-13 15:48:33.002] ""GET https://admin.corp.example.com:8443/admin/audit HTTP/2.0"" 403 - ""-"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"" type=ADMIN loc=POINT(72.8742006 19.0875241) msg=""Forbidden"""
39,"1775851072304 | type=user | email=hiro.menon+ops@corp.example.com | action=""Login successful"" | url=https://portal.corp.example.com/reports/q2 | tool=Edge/124.0.2478.67 | ip=192.0.2.249 | lat=-23.55 | lon=-46.61 | status=ok"
40,"2026-05-24T16:31:00.059Z | entity=admin | email=arjun.andersen+audit@corp.example.com | action=""ACCESS GRANTED"" | resource=D:\Backups\SQL\prod_2026-01-17.bak | tool= | src_ip=10.181.40.45 | lat=- | status=SUCCESS"
41,"3/15/2026 3:32 PM;SERVICE_ACCOUNT;ci-runner-15@build.example.internal;OpenSSH_9.6p1;postgres://reporting.example.internal:5432/sales;;;172.23.65.112;ACCESS PERMITTED;ALLOWED"
42,"6/28/2026 9:29 PM;USER;;;https://portal.corp.example.com/dashboard#summary;12°58'41.5""N;77°35'46.7""E;198.51.100.14;Access declined;DENIED"
43,"2026-01-03T03:31:00.525Z | entity_type=USER | email=fatima.garcia+alerts@corp.example.com | action=""ACCESS DENIED"" | resource=D:\Backups\SQL\prod_2026-03-22.bak | tool=MobileSafari/17.4.1 | src_ip=203.0.113.165 | latitude=-23.56 | longitude=-46.61 | result=DENIED"
44,"20260209T173435;CUSTOMER;;Firefox/125.0;https://shop.example.org/wishlist;35°37'49.8""N;139°40'37.2""E;203.0.113.164;Login attempt rejected;FAIL"
45,"Jun  9 06:57:43 api-gw02 guard[1729]: {""entity"":""guest"",""principal"":""guest_1245@example.com"",""resource"":""/catalog/items/64889"",""user_agent"":""Firefox/125.0"",""src_ip"":""2001:db8:ec5c:4ca1::5497"",""latitude"":51.5266,""longitude"":-0.1332,""msg"":""allowed"",""status"":""DENIED""}"
46,"27-01-2026 11:23;USER;SOFIA.RAO@EXAMPLE.GOV.IN;Firefox/125.0;https://portal.corp.example.com/reports/q1;35.68571 N;139.67302 E;2001:db8:c828:763a::bb87;ACCESS DENIED;blocked"
47,"2026-01-01T01:56:14Z | entity=CUSTOMER | user=meera8377@example.com | action=""ACCESS GRANTED"" | path=https://shop.example.org/checkout | tool=Edge/124.0.2478.67 | ip=198.51.100.240 | lat=35.69 | lng=139.69 | status=SUCCESS"
48,"04-02-2026 10:50:54;USER;ISABELA.IYER+2026@CORP.EXAMPLE.COM;Firefox/125.0;/home?id=4994;N35.709;E139.607;192.168.206.90;ACCESS DENIED;FAILED"
49,"2026-04-23T08:41:31+10:00 | entity_type=USER | email=<opatel@corp.example.com> | event=""Request blocked by policy"" | resource=/reports/weekly | tool=Firefox/124.0.2 | ip=203.0.113.158 | lat= | outcome=DENIED"
50,"04/13/2026 04:00:44 PM - Guest <guest_1568@example.com> failed to log in to https://portal.corp.example.com/projects/alpha?id=9248 from 172.16.229.47:6625 using MobileSafari/17.4.1, location at 18°31'46.6""N 73°53'53.8""E [FAIL]"
51,"May 27 12:09:51 auth-gw02 gatekeeper[7728]: {""entity"":""customer"",""resource"":""https://shop.example.org/orders/52027"",""user_agent"":""Firefox/124.0.2"",""ip"":""10.221.11.51"",""latitude"":51.50454,""longitude"":-0.16163,""event"":""access denied"",""result"":""FAILED""}"
52,"21-04-2026 04:40;USER;emma.santos@corp.example.com;Chrome/123.0.6312.122;https://portal.corp.example.com/reports/weekly;N19.0327;E72.8597;::ffff:192.0.2.138;Permitted;PASS"
53,"<110>1 2026-01-28T10:22:31.460Z auth-gw01 authd 9155 AUDIT - {""entity_type"":""user"",""principal"":""olivia.rao@corp.example.com"",""target"":""/timesheets?id=2679"",""user_agent"":""MobileSafari/17.4.1"",""src_ip"":""192.168.58.66"",""latitude"":35.7068,""longitude"":139.6152,""event"":""access granted"",""result"":""success""}"
54,"01-06-2026 01:06;;SVC-BACKUP@INFRA.EXAMPLE.INTERNAL;kubectl/v1.29.3;db://prod/payments;64.1824074;-21.9579947;10.170.23.104;Permitted;PASS"
55,"2026-04-03T01:24:57Z | entity=api-client | email=api-client-1102@partners.example.net | action=""Access denied"" | path=https://api.example.com/api/v2/search?q=annual%20report%202025 | tool=PostmanRuntime/7.37.0 | client_ip=192.0.2.109 | lat=18.5370 | lon=73.8981 | status=BLOCKED"
56,"<86>1 2026-03-13T22:28:21.175Z auth-gw02 audit 4148 AUTH - {""level"":""warn"",""entity_type"":""user"",""user"":""kwame.joshi@example.com"",""res"":""https://portal.corp.example.com/profile/settings"",""tool"":""Chrome/123.0.6312.122"",""src_ip"":""203.0.113.89"",""latitude"":18.5123,""longitude"":73.8449,""action"":""access granted"",""result"":""ALLOWED""}"
57,"2026-03-05T01:13:29Z | entity=ADMIN | email=aisha_murphy@hq.example.net | action=Permission granted | resource=/admin/audit | ip=2001:db8:dacc:fa4f::9784 | geo=- | status=200"
58,"<134>1 2026-03-25T15:40:39.994Z vpn01 gatekeeper 9600 AUTH - {""entity_type"":""service_account"",""email"":""ci-runner-04@build.example.internal"",""resource"":""/srv/data/exports/customers_2026-05-18.csv"",""tool"":""python-requests/2.31.0"",""src_ip"":""192.168.147.17"",""latitude"":51.5440,""longitude"":-0.1403,""event"":""access granted"",""status"":200}"
59,"[29/May/2026:19:18:18 +0530] User <sipho.w.mensah@mail.example.org> authenticated successfully to https://portal.corp.example.com:8443/reports/q2 via Chrome/124.0.6367.91 from 203.0.113.92 (loc: 12.93513, 77.61087) - status: OK"
60,"2026-02-26T01:20:34Z | entity_type=USER | email=nadia_rossi@corp.example.com | action=""Request allowed"" | resource=/calendar | tool=MobileSafari/17.4.1 | ip=10.96.249.231 | lat=64.1357 | lon=-21.9718 | status=PASS"
61,"[25/Feb/2026:22:56:16 +1000] [CUSTOMER] ""Meera Iyer"" <meera.iyer@customers.example.net> was permitted to access https://shop.example.org/wishlist via Chrome/124.0.6367.91 from 203.0.113.52 (-33.8443, 151.1608) - 200 OK"
62,"Apr 29 14:54:19 auth-gw01 guard[3274]: {""level"": ""warn"", ""entity"": ""bot"", ""user"": ""bot-monitor@infra.example.internal"", ""target"": ""https://status.example.com/api/ping"", ""tool"": ""curl/8.4.0"", ""remote_addr"": ""192.168.201.127"", ""geo"": {""lat"": 1.306, ""lng"": 103.866}, ""msg"": ""login successful"", ""outcome"": ""ok""}"
63,"2026-01-26T07:47:57Z | src_ip=172.26.123.110 | geo=19.114704,72.909783 | result=success | entity=BOT | email=synthetic-probe@infra.example.internal | action=""ACCESS GRANTED"" | tool=Wget/1.21.4 | resource=/metrics"
64,"[04/Mar/2026:18:28:07 +1000] Bot synthetic-probe@infra.example.internal successfully accessed http://10.20.0.9:8080/actuator/health from 172.29.218.155 using Go-http-client/1.1, location at 33°49'49.4""S 151°13'08.0""E, result 200 OK"
65,"198.51.100.129 - omar_andersen@hq.example.net [2026-01-17T22:07:35+05:30] ""GET /admin/audit HTTP/1.1"" 403 25353 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.2478.67"" entity=ADMIN lat=12.9950 lon=77.6290 msg=""Access denied: insufficient privileges"""
66,"2026-06-11T23:31:32.443+05:30 | entity=admin | user=meera7922@corp.example.com | action=Login failed | resource=postgres://billing.example.internal:5432/ledger?sslmode=require | tool=Chrome/124.0.6367.91 | ip=10.187.29.147 | lat=19.06719 | lon=72.86892"
67,"<86>1 2026-03-28T13:54:16.153Z auth-gw01 haproxy 9447 AUDIT - {""principal_type"":""user"",""principal"":""amara.sharma+test@corp.example.com"",""resource"":""https://portal.corp.example.com/dashboard?id=2409"",""client"":""Chrome/123.0.6312.122"",""remote_addr"":""172.25.128.153"",""latitude"":-23.514177,""longitude"":-46.678718,""msg"":""request permitted"",""status"":200}"
68,"2026-03-29T10:33:00Z Admin <LIAM.OKAFOR@HQ.EXAMPLE.NET> was permitted to access /admin/billing/export via MobileSafari/17.4.1 from 203.0.113.21 (12.9891, 77.5561) - 200 OK"
69,"<110>1 2026-05-29T15:04:46.071Z k8s-api01 gatekeeper 2090 AUDIT - {""level"": ""warn"", ""principal_type"": ""admin"", ""email"": ""omar.fernandes@corp.example.com"", ""resource"": ""https://admin.corp.example.com/admin/roles/16127"", ""tool"": ""Firefox/125.0"", ""src_ip"": ""::ffff:192.0.2.204"", ""geo"": {""lat"": 1.3960, ""lng"": 103.8488}, ""msg"": ""authentication failed"", ""status"": ""FAIL""}"
70,"2026-04-02T01:58:56Z | entity=user | action=Permission granted | resource=C:\Users\Public\Documents\handover.docx | agent=MobileSafari/17.4.1 | ip=2001:db8::5482 | lat=18.5641 | lon=73.8329 | status=SUCCESS"
71,"04/29/2026 07:32:59 PM - Admin sofia_nair@corp.example.com was allowed to access https://admin.corp.example.com:8443/admin/roles/76306 via Firefox/125.0 from 192.168.151.245 at 18°32'15.3""N 73°52'40.8""E - 201 Created"
72,"2026-03-29T20:48:07Z|entity=service_account|principal=ci-runner-06@build.example.internal|action=""Authentication failed""|resource=/opt/app/config/settings.yaml|tool=Boto3/1.34.69|ip=2001:db8:1124:afc6::3cc8|lat=12.977967|lon=77.642489|outcome=401"
73,"2026-05-21T19:14:31Z | entity=BOT | user=synthetic-probe@infra.example.internal | action=""MFA challenge issued"" | resource=/healthz | tool=curl/8.4.0 | ip=10.130.37.192 | geo=-33.8779514,151.2096221 | status=401"
74,"01/12/2026 07:33:06 AM - User rbrown@corp.example.com was granted access to /profile/settings from 198.51.100.145 using Safari/17.4.1, location (19.0786, 72.8452), result 204 No Content"
75,"31-01-2026 07:50;API_CLIENT;INTEGRATION.ORBIT@PARTNERS.EXAMPLE.NET;PostmanRuntime/7.37.0;/api/v2/invoices?status=open&page=19;40.716;-74.056;198.51.100.14;ACCESS DENIED;FAILED"
76,"Jun  2 16:05:35 sso02 audit[3902]: {""principal_type"":""api_client"",""user"":""api-client-7036@partners.example.net"",""res"":""https://api.example.com/api/v2/shipments?status=in_transit"",""client"":""python-requests/2.31.0"",""src_ip"":""203.0.113.126"",""geo"":null,""msg"":""allowed"",""status"":200}"
77,"192.0.2.241:46310 - liam-li@corp.example.com [2026-06-06 08:45:13.258] ""POST /iam/roles HTTP/1.1"" 403 35888 ""-"" ""Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1"" msg=""Blocked by WAF policy"""
78,"2026-05-28T06:16:37Z [CUSTOMER] kwame.dlamini29@mail.example.co.uk was blocked from accessing https://shop.example.org/account from 2001:0db8:da0a:0787:9fff:0d48:9e15:3744 using Chrome/124.0.6367.91, location (1.3409120, 103.7744419), result 403 Forbidden"
79,"04/11/2026 05:39:45 AM - Service Account svc-etl@infra.example.internal was permitted to access db://prod/customers via OpenSSH_9.6p1 from 192.168.237.21:52211 (13.005, 77.623) [ALLOWED]"
80,"2026-01-05T08:12:44Z | entity=user | email=kavya.iyer@corp.example.com | action=""Access granted"" | resource=https://portal.corp.example.com/dashboard | tool=Firefox/125.0 | ip=192.168.4.21 | lat=12.9716 | lon=77.5946 | status=SUCCESS"
81,"Jun 11 06:16:18 vpn01 haproxy[4572]: {""level"":""info"",""entity"":""user"",""principal"":""rahul.brown@example.com"",""resource"":""/reports/weekly?id=8185"",""tool"":""Firefox/124.0.2"",""src_ip"":""192.0.2.215"",""geometry"":{""type"":""Point"",""coordinates"":[-46.671898,-23.536144]},""msg"":""resource not found"",""result"":""NOT_FOUND""}"
82,"05/13/2026 09:11:06 PM - Service Account <ci-runner-13@build.example.internal> successfully accessed db://prod/customers via python-requests/2.31.0 from 10.231.19.185 (40.7490, -73.9850) - status: PASS"
83,"Jun 30 14:16:45 auth-gw02 gatekeeper[9234]: {""principal_type"":""service_account"",""user"":""ci-runner-14@build.example.internal"",""target"":""s3://prod-backups/daily/2026-06-14/"",""tool"":""OpenSSH_9.6p1"",""src_ip"":""10.100.80.55"",""geometry"":{""type"":""Point"",""coordinates"":[77.6240,12.9707]},""event"":""authentication succeeded"",""result"":""SUCCESS""}"
84,"2026-01-17T18:16:45Z | entity=CUSTOMER | ip=192.168.30.131 | lon=139.6576 | event=""ACCESS GRANTED"" | lat=35.6523 | status=ALLOWED | resource=https://shop.example.org/cart | user=isabela7318@shop.example.org | tool=Edge/124.0.2478.67"
85,"2026-04-21T16:40:18Z | entity_type=user | email=rohan_dlamini@corp.example.com | action=""Login successful"" | url=/reports/q2 | agent=MobileSafari/17.4.1 | ip=172.26.34.213 | lat=35.6727503 | lon=139.6814772"
86,"<86>1 2026-06-25T11:22:55.088Z sso02 openvpn 4941 AUTH - {""entity_type"":""customer"",""principal"":""diyer@customers.example.net"",""user_agent"":""Firefox/125.0"",""ip"":""172.16.207.73"",""geometry"":{""type"":""Point"",""coordinates"":[103.86690,1.33466]},""action"":""authentication failed"",""status"":""FAIL""}"
87,"2026-06-21T20:01:39+05:30 | principal=nadia-tanaka@corp.example.com | event=""Authentication failed"" | lon=73.8401 | status=fail | client=Chrome/124.0.6367.91 | client_ip=2001:db8::7b6 | lat=18.4856 | url=/home | type=USER"
88,"1774088484739 | status=200 | user=fatima_menon@shop.example.org | latitude=12.94036 | event=ACCESS GRANTED | entity=CUSTOMER | tool=Chrome/124.0.6367.91 | url=https://shop.example.org/account | longitude=77.57377 | ip=192.0.2.205"
89,"2026-05-17T09:10:31Z [success] Customer isabela.okafor+ops@shop.example.org connecting from 10.139.105.54 with Chrome/124.0.6367.91 was granted access to https://shop.example.org/wishlist."
90,"26-06-2026 06:44:23;API_CLIENT;API-CLIENT-2583@PARTNERS.EXAMPLE.NET;curl/8.4.0;https://api.example.com/api/v2/invoices?status=open&page=12;18°32'48.8""N;73°54'03.6""E;203.0.113.245;Permitted;PASS"
91,"03-04-2026 04:24;USER;LANDERSEN@HQ.EXAMPLE.NET;Chrome/124.0.6367.91;/reports/q1;;;192.0.2.52;Login successful;SUCCESS"
92,"[01/May/2026:04:03:04 +1000] anonymous was rate limited on https://portal.corp.example.com/projects/alpha?id=6811 from 192.0.2.204 using Chrome/123.0.6312.122, location (-33.8785, 151.1868), result 429 Too Many Requests"
93,"03-02-2026 13:04;USER;vikram.rao8@corp.example.com;;https://portal.corp.example.com/calendar?id=5729;51.547;-0.137;198.51.100.52;Session timeout;TIMEOUT"
94,"2026-06-10T22:44:12Z API Client anonymous successfully accessed /api/v2/shipments?status=in_transit from 192.0.2.114 using curl/8.4.0, location [N35.6848 E139.6145], result 200 OK"
95,"25-01-2026 03:03;BOT;synthetic-probe@infra.example.internal;Go-http-client/1.1;;18°28'48.0""N;73°48'36.0""E;10.197.84.251;ACCESS PERMITTED;SUCCESS"
96,"2026-04-28T04:18:29+00:00 | longitude=-0.091 | resource=/admin/users?page=10 | event=""Request allowed"" | email=hiro.li@corp.example.com | ip=192.0.2.249 | latitude=51.550 | entity=ADMIN | status=PASS | client=Edge/124.0.2478.67"
97,"2026-04-20T23:46:26Z | type=customer | email=mailto:sipho1795@mail.example.co.uk | action=""Request blocked by policy"" | resource=/checkout | tool=Safari/17.4.1 | ip=10.139.193.27 | lat=- | status=403"
98,"[28/Jan/2026:20:36:28 +1000] User hiro-kulkarni@example.com was refused access to https://portal.corp.example.com/projects/alpha via Chrome/124.0.6367.91 from 192.0.2.123 [S33.90319 E151.22156] - status: DENIED"
99,"<38>1 2026-06-05T03:44:49.700Z vpn01 gatekeeper 8297 AUTH - {""entity_type"":""service-account"",""email"":""ci-runner-09@build.example.internal"",""target"":""/home/deploy/.ssh/authorized_keys"",""user_agent"":""aws-cli/2.15.0"",""remote_addr"":""172.23.234.240"",""geo"":{""lat"":12.97,""lng"":77.57},""event"":""login successful"",""result"":""OK""}"
100,"[27/May/2026:21:29:37 +0300] [ALLOWED] User anonymous connecting from 192.168.223.32 with Firefox/124.0.2 located (-1.32659, 36.84542) successfully accessed /profile/settings."
101,"192.168.240.66:27472 - grace-dlamini@shop.example.org [2026-03-15 06:22:41.250] ""GET /cart HTTP/1.1"" 403 19660 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0"" entity=Customer geo=19.033,72.894 msg=""Access denied: insufficient privileges"""
102,"1774529009 | entity=USER | user= | event=""ACCESS GRANTED"" | path=/profile/settings | ip=172.26.112.68 | geo=18.5134567,73.8565609 | status=SUCCESS"
103,"2026/04/26 22:34:04;USER;;Firefox/124.0.2;/payslips;;;2001:db8:e5c0:433b::8763;ACCESS PERMITTED;success"
104,"2026-04-01T01:23:58+05:30 | entity=User | email=ethan.haddad82@corp.example.com | action=Authenticated successfully | resource= | tool=Safari/17.4.1 | src_ip=10.195.221.112 | lat=18.54854 | lng=73.86681 | status=SUCCESS"
105,"2026-03-16T15:11:25Z | entity=user | user=zara_rossi@mail.example.org | action=""Resource not found"" | resource=/reports/weekly?id=8949 | tool=Firefox/125.0 | ip=2001:db8:bbd3:1fa0::e694 | lat=18.5096 | lon=73.8194 | result=404"
106,"Apr 13 02:58:58 fw01 openvpn[792]: {""entity_type"":""api_client"",""user"":""api-client-1027@partners.example.net"",""target"":""https://api.example.com/api/v2/orders/81587?expand=items"",""ip"":""192.0.2.139"",""geo"":{""lat"":40.7346,""lng"":-74.0006},""msg"":""allowed"",""status"":200}"
